model_a,model_b,facet,net_eppd_delta,ci_low,ci_high,win_rate_a,deals_total
selected_ols_av,selected_ols_av,pooled,-0.1012,-0.2616,0.0612,0.4048,2500
selected_ols_av,selected_ols_av,suit,-0.016,-0.1963,0.1669,0.4171,1875
selected_ols_av,selected_ols_av,high,-0.6441,-1.2542,-0.0297,0.3517,236
selected_ols_av,selected_ols_av,low,-0.1825,-0.6145,0.2468,0.3779,389
selected_ols_av,selected_ols_av,bid_type:regular,-0.1012,-0.2616,0.0612,0.4048,2500
selected_ols_av,full_ols_av,pooled,0.56,0.3952,0.7228,0.4764,2500
selected_ols_av,full_ols_av,suit,1.8047,1.601,2.0075,0.6337,1193
selected_ols_av,full_ols_av,high,-0.9771,-1.4543,-0.4999,0.3257,350
selected_ols_av,full_ols_av,low,-0.4295,-0.6959,-0.1578,0.3354,957
selected_ols_av,full_ols_av,bid_type:regular,0.56,0.3952,0.7228,0.4764,2500
full_ols_av,selected_ols_av,pooled,-0.5864,-0.7436,-0.4276,0.3356,2500
full_ols_av,selected_ols_av,suit,-1.7832,-1.9782,-1.5782,0.1866,1190
full_ols_av,selected_ols_av,high,0.6341,0.1703,1.123,0.4858,317
full_ols_av,selected_ols_av,low,0.4582,0.1953,0.716,0.4663,993
full_ols_av,selected_ols_av,bid_type:regular,-0.5864,-0.7436,-0.4276,0.3356,2500
selected_ols_av,stricthellraiser,pooled,1.5864,1.346,1.8328,0.3608,2500
selected_ols_av,stricthellraiser,suit,1.5792,1.3388,1.8151,0.3589,2488
selected_ols_av,stricthellraiser,high,4.0,2.0,6.0,1.0,3
selected_ols_av,stricthellraiser,low,2.7778,-1.4444,6.0,0.6667,9
selected_ols_av,stricthellraiser,bid_type:regular,1.5864,1.346,1.8328,0.3608,2500
stricthellraiser,selected_ols_av,pooled,-1.8436,-2.0904,-1.5952,0.404,2500
stricthellraiser,selected_ols_av,suit,-1.8401,-2.0935,-1.5964,0.406,2483
stricthellraiser,selected_ols_av,high,-1.4,-5.2,5.0,0.2,5
stricthellraiser,selected_ols_av,low,-2.75,-5.3333,0.3333,0.0833,12
stricthellraiser,selected_ols_av,bid_type:regular,-1.8436,-2.0904,-1.5952,0.404,2500
selected_ols_av,rankthetank,pooled,10.4836,10.2476,10.712,0.8996,2500
selected_ols_av,rankthetank,suit,10.4836,10.2476,10.712,0.8996,2500
selected_ols_av,rankthetank,bid_type:regular,10.4836,10.2476,10.712,0.8996,2500
rankthetank,selected_ols_av,pooled,-10.52,-10.7516,-10.2816,0.1024,2500
rankthetank,selected_ols_av,suit,-10.52,-10.7516,-10.2816,0.1024,2500
rankthetank,selected_ols_av,bid_type:regular,-10.52,-10.7516,-10.2816,0.1024,2500
selected_ols_av,anchor_hybrid_r0_full,pooled,0.074,-0.1236,0.2816,0.39,2500
selected_ols_av,anchor_hybrid_r0_full,suit,0.0355,-0.1923,0.2644,0.384,1914
selected_ols_av,anchor_hybrid_r0_full,high,0.4136,-0.3955,1.2318,0.4273,220
selected_ols_av,anchor_hybrid_r0_full,low,0.071,-0.5082,0.6394,0.3989,366
selected_ols_av,anchor_hybrid_r0_full,bid_type:regular,0.074,-0.1236,0.2816,0.39,2500
anchor_hybrid_r0_full,selected_ols_av,pooled,-0.332,-0.534,-0.124,0.4648,2500
anchor_hybrid_r0_full,selected_ols_av,suit,-0.2034,-0.4356,0.0277,0.4798,1878
anchor_hybrid_r0_full,selected_ols_av,high,-0.59,-1.3013,0.113,0.431,239
anchor_hybrid_r0_full,selected_ols_av,low,-0.8016,-1.3578,-0.2454,0.4125,383
anchor_hybrid_r0_full,selected_ols_av,bid_type:regular,-0.332,-0.534,-0.124,0.4648,2500
full_ols_av,full_ols_av,pooled,0.06,-0.104,0.224,0.418,2500
full_ols_av,full_ols_av,suit,0.3319,-0.0553,0.7193,0.4638,470
